escolha,rocha,texto,foto,link
escolhaareia,areia,AREIA,./Fotos/areia.png,https://i.ibb.co/cymxKSB/areia.png
escolhaxisto,xisto,XISTO,./Fotos/xisto.png,https://i.ibb.co/qRqJ6hC/xisto.png
escolhamarga,marga,MARGA,./Fotos/marga.png,https://i.ibb.co/t27bvq4/marga.png
escolhaargila,argila,ARGILA,./Fotos/argila.png,https://i.ibb.co/RQj5KRk/argila.png
escolhacalcario,calcario,CALCÁRIO,./Fotos/calcario.png,https://i.ibb.co/hyFCyR0/calcario.png
escolhamarmore,marmore,MARMORE,./Fotos/marmore.png,https://i.ibb.co/kmStK18/marmore.png
escolhagranito,granito, GRANITO,./Fotos/granito.png,https://i.ibb.co/2WJWXjs/granito.png
escolhagabro,gabro,GABRO,./Fotos/gabro.png,https://i.ibb.co/9NzFZSC/gabro.png
